                                     | Core 0    
  Instructions                       |    1155265
  Cycles                             |    1171078
  IPC                                |       0.99
  Time (ns)                          |     440255
  Idle time (ns)                     |      41814
  Idle time (%)                      |       9.5%
Branch predictor stats               |           
  num correct                        |     187522
  num incorrect                      |       8836
  misprediction rate                 |      4.50%
  mpki                               |       7.65
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     176013
    num misses                       |         25
    miss rate                        |      0.01%
    mpki                             |       0.02
  D-TLB                              |           
    num accesses                     |     363356
    num misses                       |         88
    miss rate                        |      0.02%
    mpki                             |       0.08
  L2 TLB                             |           
    num accesses                     |        113
    num misses                       |         43
    miss rate                        |     38.05%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     176013
    num cache misses                 |        761
    miss rate                        |      0.43%
    mpki                             |       0.66
  Cache L1-D                         |           
    num cache accesses               |     363386
    num cache misses                 |        298
    miss rate                        |      0.08%
    mpki                             |       0.26
  Cache L2                           |           
    num cache accesses               |       1070
    num cache misses                 |        818
    miss rate                        |     76.45%
    mpki                             |       0.71
  Cache L3                           |           
    num cache accesses               |        829
    num cache misses                 |        741
    miss rate                        |     89.38%
    mpki                             |       0.64
DRAM summary                         |           
  num dram accesses                  |        741
  average dram access latency (ns)   |      56.98
  average dram queueing delay        |       3.56
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |         71
  num loads from dram cache          |          0
  num loads from remote cache        |          0
