                                     | Core 0    
  Instructions                       |   36712719
  Cycles                             |   35890745
  IPC                                |       1.02
  Time (ns)                          |   13492762
  Idle time (ns)                     |      39990
  Idle time (%)                      |       0.3%
Branch predictor stats               |           
  num correct                        |    6510230
  num incorrect                      |     829836
  misprediction rate                 |     11.31%
  mpki                               |      22.60
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    4781099
    num misses                       |         22
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   13000855
    num misses                       |       4082
    miss rate                        |      0.03%
    mpki                             |       0.11
  L2 TLB                             |           
    num accesses                     |       4104
    num misses                       |       1621
    miss rate                        |     39.50%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    4781099
    num cache misses                 |       2621
    miss rate                        |      0.05%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |   13000879
    num cache misses                 |     136560
    miss rate                        |      1.05%
    mpki                             |       3.72
  Cache L2                           |           
    num cache accesses               |     147572
    num cache misses                 |     103120
    miss rate                        |     69.88%
    mpki                             |       2.81
  Cache L3                           |           
    num cache accesses               |     111511
    num cache misses                 |      57096
    miss rate                        |     51.20%
    mpki                             |       1.56
DRAM summary                         |           
  num dram accesses                  |      57096
  average dram access latency (ns)   |      55.77
  average dram queueing delay        |       2.34
  average dram bandwidth utilization |      3.00%
Coherency Traffic                    |           
  num loads from dram                |      14323
  num loads from dram cache          |          0
  num loads from remote cache        |          0
