                                     | Core 0    
  Instructions                       |  269871852
  Cycles                             |  257587119
  IPC                                |       1.05
  Time (ns)                          |   96837263
  Idle time (ns)                     |      20741
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30522906
  num incorrect                      |    3246197
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          5
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      27863
    miss rate                        |      0.04%
    mpki                             |       0.10
  L2 TLB                             |           
    num accesses                     |      27868
    num misses                       |      19481
    miss rate                        |     69.90%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1823
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     430853
    miss rate                        |      0.62%
    mpki                             |       1.60
  Cache L2                           |           
    num cache accesses               |     436260
    num cache misses                 |     302997
    miss rate                        |     69.45%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306581
    num cache misses                 |      28587
    miss rate                        |      9.32%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30527
  average dram access latency (ns)   |     722.75
  average dram queueing delay        |     669.32
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12460
  num loads from dram cache          |          0
  num loads from remote cache        |          0
