                                     | Core 0    
  Instructions                       |    2224264
  Cycles                             |    3112220
  IPC                                |       0.71
  Time (ns)                          |    1170008
  Idle time (ns)                     |      40454
  Idle time (%)                      |       3.5%
Branch predictor stats               |           
  num correct                        |     218421
  num incorrect                      |       9181
  misprediction rate                 |      4.03%
  mpki                               |       4.13
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     302839
    num misses                       |         11
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     807109
    num misses                       |         71
    miss rate                        |      0.01%
    mpki                             |       0.03
  L2 TLB                             |           
    num accesses                     |         82
    num misses                       |         40
    miss rate                        |     48.78%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     302839
    num cache misses                 |        419
    miss rate                        |      0.14%
    mpki                             |       0.19
  Cache L1-D                         |           
    num cache accesses               |     807309
    num cache misses                 |       9620
    miss rate                        |      1.19%
    mpki                             |       4.33
  Cache L2                           |           
    num cache accesses               |      10220
    num cache misses                 |       1898
    miss rate                        |     18.57%
    mpki                             |       0.85
  Cache L3                           |           
    num cache accesses               |       2083
    num cache misses                 |       1847
    miss rate                        |     88.67%
    mpki                             |       0.83
DRAM summary                         |           
  num dram accesses                  |       1847
  average dram access latency (ns)   |     122.84
  average dram queueing delay        |      69.41
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |        596
  num loads from dram cache          |          0
  num loads from remote cache        |          0
