                                     | Core 0    
  Instructions                       |  280946884
  Cycles                             |  124684876
  IPC                                |       2.25
  Time (ns)                          |   46874014
  Idle time (ns)                     |      40046
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |   11820694
  num incorrect                      |     105109
  misprediction rate                 |      0.88%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |        100
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345697
    num misses                       |      62404
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62504
    num misses                       |       9999
    miss rate                        |     16.00%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      70562
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346347
    num cache misses                 |    1026505
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1110989
    num cache misses                 |     603521
    miss rate                        |     54.32%
    mpki                             |       2.15
  Cache L3                           |           
    num cache accesses               |     617443
    num cache misses                 |      30347
    miss rate                        |      4.91%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30347
  average dram access latency (ns)   |   20618.21
  average dram queueing delay        |   20564.78
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21947
  num loads from dram cache          |          0
  num loads from remote cache        |          0
