                                     | Core 0    
  Instructions                       |  280947350
  Cycles                             |  623492598
  IPC                                |       0.45
  Time (ns)                          |  234395714
  Idle time (ns)                     |      56041
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11821404
  num incorrect                      |     104399
  misprediction rate                 |      0.88%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         77
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345697
    num misses                       |      62461
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62538
    num misses                       |       8307
    miss rate                        |     13.28%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      70327
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346347
    num cache misses                 |    1026219
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1110468
    num cache misses                 |     604677
    miss rate                        |     54.45%
    mpki                             |       2.15
  Cache L3                           |           
    num cache accesses               |     618599
    num cache misses                 |      30347
    miss rate                        |      4.91%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30347
  average dram access latency (ns)   |      54.30
  average dram queueing delay        |       0.87
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21927
  num loads from dram cache          |          0
  num loads from remote cache        |          0
