                                     | Core 0    
  Instructions                       |  269872259
  Cycles                             |  284634265
  IPC                                |       0.95
  Time (ns)                          |  107005363
  Idle time (ns)                     |      20716
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30523224
  num incorrect                      |    3245879
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          6
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      24451
    miss rate                        |      0.04%
    mpki                             |       0.09
  L2 TLB                             |           
    num accesses                     |      24457
    num misses                       |      19460
    miss rate                        |     79.57%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1813
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     430401
    miss rate                        |      0.62%
    mpki                             |       1.59
  Cache L2                           |           
    num cache accesses               |     435795
    num cache misses                 |     302942
    miss rate                        |     69.51%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306523
    num cache misses                 |      27980
    miss rate                        |      9.13%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |      29116
  average dram access latency (ns)   |     162.38
  average dram queueing delay        |     108.95
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12443
  num loads from dram cache          |          0
  num loads from remote cache        |          0
