                                     | Core 0    
  Instructions                       |  122506480
  Cycles                             |  152332971
  IPC                                |       0.80
  Time (ns)                          |   57268035
  Idle time (ns)                     |       2005
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11183130
  num incorrect                      |    1107385
  misprediction rate                 |      9.01%
  mpki                               |       9.04
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   13594168
    num misses                       |        198
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   39254049
    num misses                       |     157283
    miss rate                        |      0.40%
    mpki                             |       1.28
  L2 TLB                             |           
    num accesses                     |     157481
    num misses                       |       4102
    miss rate                        |      2.60%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   13594168
    num cache misses                 |      12440
    miss rate                        |      0.09%
    mpki                             |       0.10
  Cache L1-D                         |           
    num cache accesses               |   39254281
    num cache misses                 |     962456
    miss rate                        |      2.45%
    mpki                             |       7.86
  Cache L2                           |           
    num cache accesses               |     987607
    num cache misses                 |     407930
    miss rate                        |     41.30%
    mpki                             |       3.33
  Cache L3                           |           
    num cache accesses               |     420700
    num cache misses                 |      46716
    miss rate                        |     11.10%
    mpki                             |       0.38
DRAM summary                         |           
  num dram accesses                  |      46716
  average dram access latency (ns)   |     739.61
  average dram queueing delay        |     686.18
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      22026
  num loads from dram cache          |          0
  num loads from remote cache        |          0
