                                     | Core 0    
  Instructions                       |   36712718
  Cycles                             |   53530510
  IPC                                |       0.69
  Time (ns)                          |   20124252
  Idle time (ns)                     |      40030
  Idle time (%)                      |       0.2%
Branch predictor stats               |           
  num correct                        |    6510148
  num incorrect                      |     829918
  misprediction rate                 |     11.31%
  mpki                               |      22.61
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    4781099
    num misses                       |         22
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   13000855
    num misses                       |       6603
    miss rate                        |      0.05%
    mpki                             |       0.18
  L2 TLB                             |           
    num accesses                     |       6625
    num misses                       |       1657
    miss rate                        |     25.01%
    mpki                             |       0.05
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    4781099
    num cache misses                 |       2641
    miss rate                        |      0.06%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |   13000879
    num cache misses                 |     136121
    miss rate                        |      1.05%
    mpki                             |       3.71
  Cache L2                           |           
    num cache accesses               |     147153
    num cache misses                 |     103169
    miss rate                        |     70.11%
    mpki                             |       2.81
  Cache L3                           |           
    num cache accesses               |     111560
    num cache misses                 |      57096
    miss rate                        |     51.18%
    mpki                             |       1.56
DRAM summary                         |           
  num dram accesses                  |      57096
  average dram access latency (ns)   |      54.29
  average dram queueing delay        |       0.86
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |      14343
  num loads from dram cache          |          0
  num loads from remote cache        |          0
