                                     | Core 0    
  Instructions                       |  280947343
  Cycles                             |  407799582
  IPC                                |       0.69
  Time (ns)                          |  153308114
  Idle time (ns)                     |      43110
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11821096
  num incorrect                      |     104707
  misprediction rate                 |      0.88%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         80
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345713
    num misses                       |      62717
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62797
    num misses                       |       8742
    miss rate                        |     13.92%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      70738
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346363
    num cache misses                 |    1025644
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1110304
    num cache misses                 |     600874
    miss rate                        |     54.12%
    mpki                             |       2.14
  Cache L3                           |           
    num cache accesses               |     614796
    num cache misses                 |      30284
    miss rate                        |      4.93%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30284
  average dram access latency (ns)   |      55.48
  average dram queueing delay        |       2.05
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21878
  num loads from dram cache          |          0
  num loads from remote cache        |          0
