                                     | Core 0    
  Instructions                       |    1155279
  Cycles                             |    2838898
  IPC                                |       0.41
  Time (ns)                          |    1067255
  Idle time (ns)                     |      41809
  Idle time (%)                      |       3.9%
Branch predictor stats               |           
  num correct                        |     187562
  num incorrect                      |       8796
  misprediction rate                 |      4.48%
  mpki                               |       7.61
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     176013
    num misses                       |         26
    miss rate                        |      0.01%
    mpki                             |       0.02
  D-TLB                              |           
    num accesses                     |     363356
    num misses                       |         65
    miss rate                        |      0.02%
    mpki                             |       0.06
  L2 TLB                             |           
    num accesses                     |         91
    num misses                       |         42
    miss rate                        |     46.15%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     176013
    num cache misses                 |        761
    miss rate                        |      0.43%
    mpki                             |       0.66
  Cache L1-D                         |           
    num cache accesses               |     363386
    num cache misses                 |        291
    miss rate                        |      0.08%
    mpki                             |       0.25
  Cache L2                           |           
    num cache accesses               |       1063
    num cache misses                 |        815
    miss rate                        |     76.67%
    mpki                             |       0.71
  Cache L3                           |           
    num cache accesses               |        826
    num cache misses                 |        740
    miss rate                        |     89.59%
    mpki                             |       0.64
DRAM summary                         |           
  num dram accesses                  |        740
  average dram access latency (ns)   |      53.72
  average dram queueing delay        |       0.29
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |         71
  num loads from dram cache          |          0
  num loads from remote cache        |          0
