                                     | Core 0    
  Instructions                       |    2224310
  Cycles                             |    2565831
  IPC                                |       0.87
  Time (ns)                          |     964598
  Idle time (ns)                     |      40594
  Idle time (%)                      |       4.2%
Branch predictor stats               |           
  num correct                        |     218356
  num incorrect                      |       9246
  misprediction rate                 |      4.06%
  mpki                               |       4.16
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     302839
    num misses                       |         11
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     807109
    num misses                       |         63
    miss rate                        |      0.01%
    mpki                             |       0.03
  L2 TLB                             |           
    num accesses                     |         74
    num misses                       |         41
    miss rate                        |     55.41%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     302839
    num cache misses                 |        381
    miss rate                        |      0.13%
    mpki                             |       0.17
  Cache L1-D                         |           
    num cache accesses               |     807309
    num cache misses                 |       9591
    miss rate                        |      1.19%
    mpki                             |       4.31
  Cache L2                           |           
    num cache accesses               |      10153
    num cache misses                 |       1911
    miss rate                        |     18.82%
    mpki                             |       0.86
  Cache L3                           |           
    num cache accesses               |       2096
    num cache misses                 |       1847
    miss rate                        |     88.12%
    mpki                             |       0.83
DRAM summary                         |           
  num dram accesses                  |       1847
  average dram access latency (ns)   |     157.07
  average dram queueing delay        |     103.64
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |        596
  num loads from dram cache          |          0
  num loads from remote cache        |          0
