                                     | Core 0    
  Instructions                       |    1155250
  Cycles                             |    1661848
  IPC                                |       0.70
  Time (ns)                          |     624755
  Idle time (ns)                     |      41745
  Idle time (%)                      |       6.7%
Branch predictor stats               |           
  num correct                        |     187542
  num incorrect                      |       8816
  misprediction rate                 |      4.49%
  mpki                               |       7.63
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     176013
    num misses                       |         26
    miss rate                        |      0.01%
    mpki                             |       0.02
  D-TLB                              |           
    num accesses                     |     363356
    num misses                       |         64
    miss rate                        |      0.02%
    mpki                             |       0.06
  L2 TLB                             |           
    num accesses                     |         90
    num misses                       |         43
    miss rate                        |     47.78%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     176013
    num cache misses                 |        758
    miss rate                        |      0.43%
    mpki                             |       0.66
  Cache L1-D                         |           
    num cache accesses               |     363386
    num cache misses                 |        293
    miss rate                        |      0.08%
    mpki                             |       0.25
  Cache L2                           |           
    num cache accesses               |       1062
    num cache misses                 |        813
    miss rate                        |     76.55%
    mpki                             |       0.70
  Cache L3                           |           
    num cache accesses               |        824
    num cache misses                 |        740
    miss rate                        |     89.81%
    mpki                             |       0.64
DRAM summary                         |           
  num dram accesses                  |        740
  average dram access latency (ns)   |      58.74
  average dram queueing delay        |       5.31
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |         70
  num loads from dram cache          |          0
  num loads from remote cache        |          0
