                                     | Core 0    
  Instructions                       |    2224233
  Cycles                             |    1743625
  IPC                                |       1.28
  Time (ns)                          |     655498
  Idle time (ns)                     |      40594
  Idle time (%)                      |       6.2%
Branch predictor stats               |           
  num correct                        |     218419
  num incorrect                      |       9187
  misprediction rate                 |      4.04%
  mpki                               |       4.13
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     302844
    num misses                       |         12
    miss rate                        |      0.00%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |     807121
    num misses                       |        102
    miss rate                        |      0.01%
    mpki                             |       0.05
  L2 TLB                             |           
    num accesses                     |        114
    num misses                       |         42
    miss rate                        |     36.84%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     302844
    num cache misses                 |        387
    miss rate                        |      0.13%
    mpki                             |       0.17
  Cache L1-D                         |           
    num cache accesses               |     807321
    num cache misses                 |       9588
    miss rate                        |      1.19%
    mpki                             |       4.31
  Cache L2                           |           
    num cache accesses               |      10156
    num cache misses                 |       1913
    miss rate                        |     18.84%
    mpki                             |       0.86
  Cache L3                           |           
    num cache accesses               |       2098
    num cache misses                 |       1847
    miss rate                        |     88.04%
    mpki                             |       0.83
DRAM summary                         |           
  num dram accesses                  |       1847
  average dram access latency (ns)   |     191.09
  average dram queueing delay        |     137.66
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |        596
  num loads from dram cache          |          0
  num loads from remote cache        |          0
