                                     | Core 0    
  Instructions                       |   36712719
  Cycles                             |   35896572
  IPC                                |       1.02
  Time (ns)                          |   13494952
  Idle time (ns)                     |      40062
  Idle time (%)                      |       0.3%
Branch predictor stats               |           
  num correct                        |    6510173
  num incorrect                      |     829893
  misprediction rate                 |     11.31%
  mpki                               |      22.61
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    4781099
    num misses                       |         22
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   13000855
    num misses                       |       6150
    miss rate                        |      0.05%
    mpki                             |       0.17
  L2 TLB                             |           
    num accesses                     |       6172
    num misses                       |       1655
    miss rate                        |     26.81%
    mpki                             |       0.05
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    4781099
    num cache misses                 |       2641
    miss rate                        |      0.06%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |   13000879
    num cache misses                 |     137782
    miss rate                        |      1.06%
    mpki                             |       3.75
  Cache L2                           |           
    num cache accesses               |     148814
    num cache misses                 |     103114
    miss rate                        |     69.29%
    mpki                             |       2.81
  Cache L3                           |           
    num cache accesses               |     111505
    num cache misses                 |      57096
    miss rate                        |     51.20%
    mpki                             |       1.56
DRAM summary                         |           
  num dram accesses                  |      57096
  average dram access latency (ns)   |      55.77
  average dram queueing delay        |       2.34
  average dram bandwidth utilization |      3.00%
Coherency Traffic                    |           
  num loads from dram                |      14341
  num loads from dram cache          |          0
  num loads from remote cache        |          0
