                                     | Core 0    
  Instructions                       |    1010078
  Cycles                             |    1100725
  IPC                                |       0.92
  Time (ns)                          |     413807
  Idle time (ns)                     |      33521
  Idle time (%)                      |       8.1%
Branch predictor stats               |           
  num correct                        |      59129
  num incorrect                      |       1655
  misprediction rate                 |      2.72%
  mpki                               |       1.64
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     113511
    num misses                       |          4
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     297041
    num misses                       |         24
    miss rate                        |      0.01%
    mpki                             |       0.02
  L2 TLB                             |           
    num accesses                     |         28
    num misses                       |         11
    miss rate                        |     39.29%
    mpki                             |       0.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     113511
    num cache misses                 |         78
    miss rate                        |      0.07%
    mpki                             |       0.08
  Cache L1-D                         |           
    num cache accesses               |     297041
    num cache misses                 |        138
    miss rate                        |      0.05%
    mpki                             |       0.14
  Cache L2                           |           
    num cache accesses               |        216
    num cache misses                 |        140
    miss rate                        |     64.81%
    mpki                             |       0.14
  Cache L3                           |           
    num cache accesses               |        140
    num cache misses                 |        139
    miss rate                        |     99.29%
    mpki                             |       0.14
DRAM summary                         |           
  num dram accesses                  |        139
  average dram access latency (ns)   |      56.50
  average dram queueing delay        |       3.07
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |         81
  num loads from dram cache          |          0
  num loads from remote cache        |          0
