                                     | Core 0    
  Instructions                       |   36712665
  Cycles                             |   29300038
  IPC                                |       1.25
  Time (ns)                          |   11015052
  Idle time (ns)                     |      39922
  Idle time (%)                      |       0.4%
Branch predictor stats               |           
  num correct                        |    6510142
  num incorrect                      |     829924
  misprediction rate                 |     11.31%
  mpki                               |      22.61
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    4781099
    num misses                       |         23
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   13000855
    num misses                       |       5571
    miss rate                        |      0.04%
    mpki                             |       0.15
  L2 TLB                             |           
    num accesses                     |       5594
    num misses                       |       1623
    miss rate                        |     29.01%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    4781099
    num cache misses                 |       2629
    miss rate                        |      0.05%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |   13000879
    num cache misses                 |     136131
    miss rate                        |      1.05%
    mpki                             |       3.71
  Cache L2                           |           
    num cache accesses               |     147151
    num cache misses                 |     103038
    miss rate                        |     70.02%
    mpki                             |       2.81
  Cache L3                           |           
    num cache accesses               |     111429
    num cache misses                 |      57096
    miss rate                        |     51.24%
    mpki                             |       1.56
DRAM summary                         |           
  num dram accesses                  |      57096
  average dram access latency (ns)   |     558.20
  average dram queueing delay        |     504.77
  average dram bandwidth utilization |      4.00%
Coherency Traffic                    |           
  num loads from dram                |      14324
  num loads from dram cache          |          0
  num loads from remote cache        |          0
