                                     | Core 0    
  Instructions                       |    2224323
  Cycles                             |    3962331
  IPC                                |       0.56
  Time (ns)                          |    1489598
  Idle time (ns)                     |      40429
  Idle time (%)                      |       2.7%
Branch predictor stats               |           
  num correct                        |     218287
  num incorrect                      |       9315
  misprediction rate                 |      4.09%
  mpki                               |       4.19
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     302839
    num misses                       |         11
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     807109
    num misses                       |         75
    miss rate                        |      0.01%
    mpki                             |       0.03
  L2 TLB                             |           
    num accesses                     |         86
    num misses                       |         40
    miss rate                        |     46.51%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     302839
    num cache misses                 |        396
    miss rate                        |      0.13%
    mpki                             |       0.18
  Cache L1-D                         |           
    num cache accesses               |     807309
    num cache misses                 |       9581
    miss rate                        |      1.19%
    mpki                             |       4.31
  Cache L2                           |           
    num cache accesses               |      10158
    num cache misses                 |       1914
    miss rate                        |     18.84%
    mpki                             |       0.86
  Cache L3                           |           
    num cache accesses               |       2099
    num cache misses                 |       1847
    miss rate                        |     87.99%
    mpki                             |       0.83
DRAM summary                         |           
  num dram accesses                  |       1847
  average dram access latency (ns)   |     123.98
  average dram queueing delay        |      70.55
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |        596
  num loads from dram cache          |          0
  num loads from remote cache        |          0
