                                     | Core 0    
  Instructions                       |  280947343
  Cycles                             |  280285300
  IPC                                |       1.00
  Time (ns)                          |  105370414
  Idle time (ns)                     |      48071
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11820913
  num incorrect                      |     104890
  misprediction rate                 |      0.88%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         70
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345713
    num misses                       |      62433
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62503
    num misses                       |       8533
    miss rate                        |     13.65%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      71163
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346363
    num cache misses                 |    1025460
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1110545
    num cache misses                 |     602639
    miss rate                        |     54.27%
    mpki                             |       2.15
  Cache L3                           |           
    num cache accesses               |     616561
    num cache misses                 |      30348
    miss rate                        |      4.92%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30350
  average dram access latency (ns)   |      56.66
  average dram queueing delay        |       3.23
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21944
  num loads from dram cache          |          0
  num loads from remote cache        |          0
