                                     | Core 0    
  Instructions                       |  269872305
  Cycles                             |  297592189
  IPC                                |       0.91
  Time (ns)                          |  111876763
  Idle time (ns)                     |      20704
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30522627
  num incorrect                      |    3246476
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          6
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      24337
    miss rate                        |      0.03%
    mpki                             |       0.09
  L2 TLB                             |           
    num accesses                     |      24343
    num misses                       |      19380
    miss rate                        |     79.61%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1801
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     430409
    miss rate                        |      0.62%
    mpki                             |       1.59
  Cache L2                           |           
    num cache accesses               |     435792
    num cache misses                 |     302972
    miss rate                        |     69.52%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306554
    num cache misses                 |      27637
    miss rate                        |      9.02%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |      28469
  average dram access latency (ns)   |     262.31
  average dram queueing delay        |     208.88
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12393
  num loads from dram cache          |          0
  num loads from remote cache        |          0
