                                     | Core 0    
  Instructions                       |    1155272
  Cycles                             |    1378558
  IPC                                |       0.84
  Time (ns)                          |     518255
  Idle time (ns)                     |      41738
  Idle time (%)                      |       8.1%
Branch predictor stats               |           
  num correct                        |     187049
  num incorrect                      |       9309
  misprediction rate                 |      4.74%
  mpki                               |       8.06
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     176013
    num misses                       |         26
    miss rate                        |      0.01%
    mpki                             |       0.02
  D-TLB                              |           
    num accesses                     |     363356
    num misses                       |         94
    miss rate                        |      0.03%
    mpki                             |       0.08
  L2 TLB                             |           
    num accesses                     |        120
    num misses                       |         42
    miss rate                        |     35.00%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     176013
    num cache misses                 |        761
    miss rate                        |      0.43%
    mpki                             |       0.66
  Cache L1-D                         |           
    num cache accesses               |     363386
    num cache misses                 |        298
    miss rate                        |      0.08%
    mpki                             |       0.26
  Cache L2                           |           
    num cache accesses               |       1070
    num cache misses                 |        815
    miss rate                        |     76.17%
    mpki                             |       0.71
  Cache L3                           |           
    num cache accesses               |        826
    num cache misses                 |        741
    miss rate                        |     89.71%
    mpki                             |       0.64
DRAM summary                         |           
  num dram accesses                  |        741
  average dram access latency (ns)   |      55.60
  average dram queueing delay        |       2.17
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |         71
  num loads from dram cache          |          0
  num loads from remote cache        |          0
