                                     | Core 0    
  Instructions                       |    1009970
  Cycles                             |    1316717
  IPC                                |       0.77
  Time (ns)                          |     495007
  Idle time (ns)                     |      33429
  Idle time (%)                      |       6.8%
Branch predictor stats               |           
  num correct                        |      59231
  num incorrect                      |       1553
  misprediction rate                 |      2.55%
  mpki                               |       1.54
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     113511
    num misses                       |          6
    miss rate                        |      0.01%
    mpki                             |       0.01
  D-TLB                              |           
    num accesses                     |     297041
    num misses                       |         20
    miss rate                        |      0.01%
    mpki                             |       0.02
  L2 TLB                             |           
    num accesses                     |         26
    num misses                       |         12
    miss rate                        |     46.15%
    mpki                             |       0.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     113511
    num cache misses                 |         80
    miss rate                        |      0.07%
    mpki                             |       0.08
  Cache L1-D                         |           
    num cache accesses               |     297041
    num cache misses                 |        137
    miss rate                        |      0.05%
    mpki                             |       0.14
  Cache L2                           |           
    num cache accesses               |        217
    num cache misses                 |        142
    miss rate                        |     65.44%
    mpki                             |       0.14
  Cache L3                           |           
    num cache accesses               |        142
    num cache misses                 |        139
    miss rate                        |     97.89%
    mpki                             |       0.14
DRAM summary                         |           
  num dram accesses                  |        139
  average dram access latency (ns)   |      66.23
  average dram queueing delay        |      12.80
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |         81
  num loads from dram cache          |          0
  num loads from remote cache        |          0
