                                     | Core 0    
  Instructions                       |  269872197
  Cycles                             |  261322291
  IPC                                |       1.03
  Time (ns)                          |   98241463
  Idle time (ns)                     |      20658
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30522729
  num incorrect                      |    3246374
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          5
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      24448
    miss rate                        |      0.04%
    mpki                             |       0.09
  L2 TLB                             |           
    num accesses                     |      24453
    num misses                       |      19455
    miss rate                        |     79.56%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1815
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     430962
    miss rate                        |      0.62%
    mpki                             |       1.60
  Cache L2                           |           
    num cache accesses               |     436359
    num cache misses                 |     303010
    miss rate                        |     69.44%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306592
    num cache misses                 |      27617
    miss rate                        |      9.01%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |      28473
  average dram access latency (ns)   |     721.71
  average dram queueing delay        |     668.28
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12392
  num loads from dram cache          |          0
  num loads from remote cache        |          0
