                                     | Core 0    
  Instructions                       |  280947350
  Cycles                             |  623475574
  IPC                                |       0.45
  Time (ns)                          |  234389314
  Idle time (ns)                     |      55331
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11820780
  num incorrect                      |     105023
  misprediction rate                 |      0.88%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         73
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345697
    num misses                       |      62720
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62793
    num misses                       |       9683
    miss rate                        |     15.42%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      70533
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346347
    num cache misses                 |    1025915
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1110370
    num cache misses                 |     602500
    miss rate                        |     54.26%
    mpki                             |       2.14
  Cache L3                           |           
    num cache accesses               |     616422
    num cache misses                 |      30283
    miss rate                        |      4.91%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30283
  average dram access latency (ns)   |      54.30
  average dram queueing delay        |       0.87
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21874
  num loads from dram cache          |          0
  num loads from remote cache        |          0
