                                     | Core 0    
  Instructions                       |    1010062
  Cycles                             |    1543615
  IPC                                |       0.65
  Time (ns)                          |     580307
  Idle time (ns)                     |      33559
  Idle time (%)                      |       5.8%
Branch predictor stats               |           
  num correct                        |      59020
  num incorrect                      |       1764
  misprediction rate                 |      2.90%
  mpki                               |       1.75
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     113511
    num misses                       |          4
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     297041
    num misses                       |         20
    miss rate                        |      0.01%
    mpki                             |       0.02
  L2 TLB                             |           
    num accesses                     |         24
    num misses                       |         13
    miss rate                        |     54.17%
    mpki                             |       0.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     113511
    num cache misses                 |         82
    miss rate                        |      0.07%
    mpki                             |       0.08
  Cache L1-D                         |           
    num cache accesses               |     297041
    num cache misses                 |        139
    miss rate                        |      0.05%
    mpki                             |       0.14
  Cache L2                           |           
    num cache accesses               |        221
    num cache misses                 |        143
    miss rate                        |     64.71%
    mpki                             |       0.14
  Cache L3                           |           
    num cache accesses               |        143
    num cache misses                 |        139
    miss rate                        |     97.20%
    mpki                             |       0.14
DRAM summary                         |           
  num dram accesses                  |        139
  average dram access latency (ns)   |      58.30
  average dram queueing delay        |       4.87
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |         81
  num loads from dram cache          |          0
  num loads from remote cache        |          0
