                                     | Core 0    
  Instructions                       |    2223858
  Cycles                             |    2973609
  IPC                                |       0.75
  Time (ns)                          |    1117898
  Idle time (ns)                     |      40443
  Idle time (%)                      |       3.6%
Branch predictor stats               |           
  num correct                        |     218383
  num incorrect                      |       9219
  misprediction rate                 |      4.05%
  mpki                               |       4.15
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     302839
    num misses                       |         11
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     807109
    num misses                       |         94
    miss rate                        |      0.01%
    mpki                             |       0.04
  L2 TLB                             |           
    num accesses                     |        105
    num misses                       |         40
    miss rate                        |     38.10%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     302839
    num cache misses                 |        379
    miss rate                        |      0.13%
    mpki                             |       0.17
  Cache L1-D                         |           
    num cache accesses               |     807309
    num cache misses                 |       9606
    miss rate                        |      1.19%
    mpki                             |       4.32
  Cache L2                           |           
    num cache accesses               |      10166
    num cache misses                 |       1917
    miss rate                        |     18.86%
    mpki                             |       0.86
  Cache L3                           |           
    num cache accesses               |       2102
    num cache misses                 |       1847
    miss rate                        |     87.87%
    mpki                             |       0.83
DRAM summary                         |           
  num dram accesses                  |       1847
  average dram access latency (ns)   |     135.56
  average dram queueing delay        |      82.13
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |        596
  num loads from dram cache          |          0
  num loads from remote cache        |          0
