                                     | Core 0    
  Instructions                       |  269872317
  Cycles                             |  468645617
  IPC                                |       0.58
  Time (ns)                          |  176182563
  Idle time (ns)                     |      20718
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30522247
  num incorrect                      |    3246856
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          6
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      24464
    miss rate                        |      0.04%
    mpki                             |       0.09
  L2 TLB                             |           
    num accesses                     |      24470
    num misses                       |      19444
    miss rate                        |     79.46%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1861
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     430634
    miss rate                        |      0.62%
    mpki                             |       1.60
  Cache L2                           |           
    num cache accesses               |     436076
    num cache misses                 |     303068
    miss rate                        |     69.50%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306649
    num cache misses                 |      28178
    miss rate                        |      9.19%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |      29816
  average dram access latency (ns)   |     155.33
  average dram queueing delay        |     101.90
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12444
  num loads from dram cache          |          0
  num loads from remote cache        |          0
