                                     | Core 0    
  Instructions                       |   36712724
  Cycles                             |   48629460
  IPC                                |       0.75
  Time (ns)                          |   18281752
  Idle time (ns)                     |      39898
  Idle time (%)                      |       0.2%
Branch predictor stats               |           
  num correct                        |    6510278
  num incorrect                      |     829788
  misprediction rate                 |     11.30%
  mpki                               |      22.60
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    4781099
    num misses                       |         22
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   13000855
    num misses                       |       4104
    miss rate                        |      0.03%
    mpki                             |       0.11
  L2 TLB                             |           
    num accesses                     |       4126
    num misses                       |       1617
    miss rate                        |     39.19%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    4781099
    num cache misses                 |       2625
    miss rate                        |      0.05%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |   13000879
    num cache misses                 |     136169
    miss rate                        |      1.05%
    mpki                             |       3.71
  Cache L2                           |           
    num cache accesses               |     147185
    num cache misses                 |     103074
    miss rate                        |     70.03%
    mpki                             |       2.81
  Cache L3                           |           
    num cache accesses               |     111465
    num cache misses                 |      57096
    miss rate                        |     51.22%
    mpki                             |       1.56
DRAM summary                         |           
  num dram accesses                  |      57096
  average dram access latency (ns)   |      54.00
  average dram queueing delay        |       0.57
  average dram bandwidth utilization |      2.00%
Coherency Traffic                    |           
  num loads from dram                |      14334
  num loads from dram cache          |          0
  num loads from remote cache        |          0
