                                     | Core 0    
  Instructions                       |  269872258
  Cycles                             |  258451619
  IPC                                |       1.04
  Time (ns)                          |   97162263
  Idle time (ns)                     |      20655
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30522698
  num incorrect                      |    3246405
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          6
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      24432
    miss rate                        |      0.04%
    mpki                             |       0.09
  L2 TLB                             |           
    num accesses                     |      24438
    num misses                       |      19468
    miss rate                        |     79.66%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1827
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     431127
    miss rate                        |      0.62%
    mpki                             |       1.60
  Cache L2                           |           
    num cache accesses               |     436536
    num cache misses                 |     303048
    miss rate                        |     69.42%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306630
    num cache misses                 |      28033
    miss rate                        |      9.14%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |      29290
  average dram access latency (ns)   |     292.36
  average dram queueing delay        |     238.93
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12413
  num loads from dram cache          |          0
  num loads from remote cache        |          0
