                                     | Core 0    
  Instructions                       |   36712666
  Cycles                             |   35417265
  IPC                                |       1.04
  Time (ns)                          |   13314762
  Idle time (ns)                     |      39864
  Idle time (%)                      |       0.3%
Branch predictor stats               |           
  num correct                        |    6510192
  num incorrect                      |     829874
  misprediction rate                 |     11.31%
  mpki                               |      22.60
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    4781099
    num misses                       |         22
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   13000855
    num misses                       |       3915
    miss rate                        |      0.03%
    mpki                             |       0.11
  L2 TLB                             |           
    num accesses                     |       3937
    num misses                       |       1619
    miss rate                        |     41.12%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    4781099
    num cache misses                 |       2628
    miss rate                        |      0.05%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |   13000879
    num cache misses                 |     136175
    miss rate                        |      1.05%
    mpki                             |       3.71
  Cache L2                           |           
    num cache accesses               |     147194
    num cache misses                 |     103108
    miss rate                        |     70.05%
    mpki                             |       2.81
  Cache L3                           |           
    num cache accesses               |     111499
    num cache misses                 |      57096
    miss rate                        |     51.21%
    mpki                             |       1.56
DRAM summary                         |           
  num dram accesses                  |      57096
  average dram access latency (ns)   |     191.45
  average dram queueing delay        |     138.02
  average dram bandwidth utilization |      3.00%
Coherency Traffic                    |           
  num loads from dram                |      14317
  num loads from dram cache          |          0
  num loads from remote cache        |          0
