                                     | Core 0    
  Instructions                       |  269872085
  Cycles                             |  258954093
  IPC                                |       1.04
  Time (ns)                          |   97351163
  Idle time (ns)                     |      20675
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30522627
  num incorrect                      |    3246476
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          6
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      24418
    miss rate                        |      0.04%
    mpki                             |       0.09
  L2 TLB                             |           
    num accesses                     |      24424
    num misses                       |      19430
    miss rate                        |     79.55%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1854
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     431090
    miss rate                        |      0.62%
    mpki                             |       1.60
  Cache L2                           |           
    num cache accesses               |     436526
    num cache misses                 |     303004
    miss rate                        |     69.41%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306586
    num cache misses                 |      27517
    miss rate                        |      8.98%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |      28264
  average dram access latency (ns)   |     722.24
  average dram queueing delay        |     668.81
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12390
  num loads from dram cache          |          0
  num loads from remote cache        |          0
