                                     | Core 0    
  Instructions                       |    2224311
  Cycles                             |    2342948
  IPC                                |       0.95
  Time (ns)                          |     880808
  Idle time (ns)                     |      40492
  Idle time (%)                      |       4.6%
Branch predictor stats               |           
  num correct                        |     218323
  num incorrect                      |       9279
  misprediction rate                 |      4.08%
  mpki                               |       4.17
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     302839
    num misses                       |         11
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |     807109
    num misses                       |         65
    miss rate                        |      0.01%
    mpki                             |       0.03
  L2 TLB                             |           
    num accesses                     |         76
    num misses                       |         39
    miss rate                        |     51.32%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     302839
    num cache misses                 |        484
    miss rate                        |      0.16%
    mpki                             |       0.22
  Cache L1-D                         |           
    num cache accesses               |     807309
    num cache misses                 |       9610
    miss rate                        |      1.19%
    mpki                             |       4.32
  Cache L2                           |           
    num cache accesses               |      10275
    num cache misses                 |       1909
    miss rate                        |     18.58%
    mpki                             |       0.86
  Cache L3                           |           
    num cache accesses               |       2094
    num cache misses                 |       1847
    miss rate                        |     88.20%
    mpki                             |       0.83
DRAM summary                         |           
  num dram accesses                  |       1847
  average dram access latency (ns)   |     170.49
  average dram queueing delay        |     117.06
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |        596
  num loads from dram cache          |          0
  num loads from remote cache        |          0
