                                     | Core 0    
  Instructions                       |  269872312
  Cycles                             |  309797333
  IPC                                |       0.87
  Time (ns)                          |  116465163
  Idle time (ns)                     |      20683
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30522829
  num incorrect                      |    3246274
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          6
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      24374
    miss rate                        |      0.04%
    mpki                             |       0.09
  L2 TLB                             |           
    num accesses                     |      24380
    num misses                       |      19432
    miss rate                        |     79.70%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1846
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     430519
    miss rate                        |      0.62%
    mpki                             |       1.60
  Cache L2                           |           
    num cache accesses               |     435946
    num cache misses                 |     302977
    miss rate                        |     69.50%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306558
    num cache misses                 |      27516
    miss rate                        |      8.98%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |      28255
  average dram access latency (ns)   |     178.10
  average dram queueing delay        |     124.67
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12385
  num loads from dram cache          |          0
  num loads from remote cache        |          0
