                                     | Core 0    
  Instructions                       |  280947347
  Cycles                             |  357805148
  IPC                                |       0.79
  Time (ns)                          |  134513214
  Idle time (ns)                     |      38516
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11821031
  num incorrect                      |     104772
  misprediction rate                 |      0.88%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         86
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345736
    num misses                       |      62761
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62847
    num misses                       |       9099
    miss rate                        |     14.48%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      70996
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346386
    num cache misses                 |    1024754
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1109672
    num cache misses                 |     605067
    miss rate                        |     54.53%
    mpki                             |       2.15
  Cache L3                           |           
    num cache accesses               |     618989
    num cache misses                 |      30348
    miss rate                        |      4.90%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30348
  average dram access latency (ns)   |      55.38
  average dram queueing delay        |       1.95
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21948
  num loads from dram cache          |          0
  num loads from remote cache        |          0
