                                     | Core 0    
  Instructions                       |     137837
  Cycles                             |     389325
  IPC                                |       0.35
  Time (ns)                          |     146363
  Idle time (ns)                     |      75944
  Idle time (%)                      |      51.9%
Branch predictor stats               |           
  num correct                        |       5666
  num incorrect                      |       1091
  misprediction rate                 |     16.15%
  mpki                               |       7.92
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      14357
    num misses                       |          8
    miss rate                        |      0.06%
    mpki                             |       0.06
  D-TLB                              |           
    num accesses                     |      41764
    num misses                       |         40
    miss rate                        |      0.10%
    mpki                             |       0.29
  L2 TLB                             |           
    num accesses                     |         48
    num misses                       |         17
    miss rate                        |     35.42%
    mpki                             |       0.12
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      14357
    num cache misses                 |        172
    miss rate                        |      1.20%
    mpki                             |       1.25
  Cache L1-D                         |           
    num cache accesses               |      41774
    num cache misses                 |        828
    miss rate                        |      1.98%
    mpki                             |       6.01
  Cache L2                           |           
    num cache accesses               |       1071
    num cache misses                 |        321
    miss rate                        |     29.97%
    mpki                             |       2.33
  Cache L3                           |           
    num cache accesses               |        392
    num cache misses                 |        265
    miss rate                        |     67.60%
    mpki                             |       1.92
DRAM summary                         |           
  num dram accesses                  |        265
  average dram access latency (ns)   |      53.77
  average dram queueing delay        |       0.34
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |        137
  num loads from dram cache          |          0
  num loads from remote cache        |          0
