                                     | Core 0    
  Instructions                       |  122506556
  Cycles                             |  184076081
  IPC                                |       0.67
  Time (ns)                          |   69201535
  Idle time (ns)                     |       2048
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11184937
  num incorrect                      |    1105588
  misprediction rate                 |      9.00%
  mpki                               |       9.02
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   13594173
    num misses                       |        186
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   39253857
    num misses                       |     185639
    miss rate                        |      0.47%
    mpki                             |       1.52
  L2 TLB                             |           
    num accesses                     |     185825
    num misses                       |       4746
    miss rate                        |      2.55%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   13594173
    num cache misses                 |      12286
    miss rate                        |      0.09%
    mpki                             |       0.10
  Cache L1-D                         |           
    num cache accesses               |   39254089
    num cache misses                 |     962678
    miss rate                        |      2.45%
    mpki                             |       7.86
  Cache L2                           |           
    num cache accesses               |     987675
    num cache misses                 |     408655
    miss rate                        |     41.38%
    mpki                             |       3.34
  Cache L3                           |           
    num cache accesses               |     421419
    num cache misses                 |      46718
    miss rate                        |     11.09%
    mpki                             |       0.38
DRAM summary                         |           
  num dram accesses                  |      46718
  average dram access latency (ns)   |     710.09
  average dram queueing delay        |     656.66
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      22013
  num loads from dram cache          |          0
  num loads from remote cache        |          0
