                                     | Core 0    
  Instructions                       |  269871854
  Cycles                             |  255708095
  IPC                                |       1.06
  Time (ns)                          |   96130863
  Idle time (ns)                     |      20729
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   30522736
  num incorrect                      |    3246367
  misprediction rate                 |      9.61%
  mpki                               |      12.03
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   33690656
    num misses                       |          6
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69635961
    num misses                       |      24476
    miss rate                        |      0.04%
    mpki                             |       0.09
  L2 TLB                             |           
    num accesses                     |      24482
    num misses                       |      19467
    miss rate                        |     79.52%
    mpki                             |       0.07
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   33690656
    num cache misses                 |       1811
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   69635961
    num cache misses                 |     430539
    miss rate                        |      0.62%
    mpki                             |       1.60
  Cache L2                           |           
    num cache accesses               |     435933
    num cache misses                 |     303014
    miss rate                        |     69.51%
    mpki                             |       1.12
  Cache L3                           |           
    num cache accesses               |     306597
    num cache misses                 |      27558
    miss rate                        |      8.99%
    mpki                             |       0.10
DRAM summary                         |           
  num dram accesses                  |      28147
  average dram access latency (ns)   |     762.72
  average dram queueing delay        |     709.29
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      12387
  num loads from dram cache          |          0
  num loads from remote cache        |          0
