                                     | Core 0    
  Instructions                       |   36712702
  Cycles                             |   29867150
  IPC                                |       1.23
  Time (ns)                          |   11228252
  Idle time (ns)                     |      40029
  Idle time (%)                      |       0.4%
Branch predictor stats               |           
  num correct                        |    6510166
  num incorrect                      |     829900
  misprediction rate                 |     11.31%
  mpki                               |      22.61
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    4781099
    num misses                       |         22
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   13000855
    num misses                       |       4224
    miss rate                        |      0.03%
    mpki                             |       0.12
  L2 TLB                             |           
    num accesses                     |       4246
    num misses                       |       1604
    miss rate                        |     37.78%
    mpki                             |       0.04
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    4781099
    num cache misses                 |       2633
    miss rate                        |      0.06%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |   13000879
    num cache misses                 |     136531
    miss rate                        |      1.05%
    mpki                             |       3.72
  Cache L2                           |           
    num cache accesses               |     147555
    num cache misses                 |     103045
    miss rate                        |     69.83%
    mpki                             |       2.81
  Cache L3                           |           
    num cache accesses               |     111436
    num cache misses                 |      57096
    miss rate                        |     51.24%
    mpki                             |       1.56
DRAM summary                         |           
  num dram accesses                  |      57096
  average dram access latency (ns)   |     566.05
  average dram queueing delay        |     512.62
  average dram bandwidth utilization |      4.00%
Coherency Traffic                    |           
  num loads from dram                |      14328
  num loads from dram cache          |          0
  num loads from remote cache        |          0
