                                     | Core 0    
  Instructions                       |  280947343
  Cycles                             |  280268542
  IPC                                |       1.00
  Time (ns)                          |  105364114
  Idle time (ns)                     |      44085
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   11820506
  num incorrect                      |     105297
  misprediction rate                 |      0.88%
  mpki                               |       0.37
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   25245593
    num misses                       |         74
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   69345736
    num misses                       |      62487
    miss rate                        |      0.09%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |      62561
    num misses                       |       8738
    miss rate                        |     13.97%
    mpki                             |       0.03
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   25245593
    num cache misses                 |      71053
    miss rate                        |      0.28%
    mpki                             |       0.25
  Cache L1-D                         |           
    num cache accesses               |   69346386
    num cache misses                 |    1024970
    miss rate                        |      1.48%
    mpki                             |       3.65
  Cache L2                           |           
    num cache accesses               |    1109945
    num cache misses                 |     602971
    miss rate                        |     54.32%
    mpki                             |       2.15
  Cache L3                           |           
    num cache accesses               |     616893
    num cache misses                 |      30284
    miss rate                        |      4.91%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      30284
  average dram access latency (ns)   |      56.66
  average dram queueing delay        |       3.23
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |      21871
  num loads from dram cache          |          0
  num loads from remote cache        |          0
